start,end,ngram,term,cui,similarity,semtypes,preferred,elem_id,source_filename
56,74,oral complications,oral complications,C3898092,1.0,{'T046'},1,0,PMC12433365.txt
78,91,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,0,PMC12433365.txt
42,52,management,management,C0376636,1.0,{'T058'},1,0,PMC12433365.txt
13,21,Clinical,Clinical,C1315013,1.0,{'T170'},1,0,PMC12433365.txt
22,30,Practice,Practice,C0237607,1.0,{'T041'},1,0,PMC12433365.txt
210,228,oral complications,oral complications,C3898092,1.0,{'T046'},1,1,PMC12433365.txt
301,319,oral complications,oral complications,C3898092,1.0,{'T046'},1,1,PMC12433365.txt
336,349,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,1,PMC12433365.txt
105,115,instrument,instrument,C5574858,1.0,{'T074'},1,1,PMC12433365.txt
196,206,management,management,C0376636,1.0,{'T058'},1,1,PMC12433365.txt
287,297,management,management,C0376636,1.0,{'T058'},1,1,PMC12433365.txt
273,282,addresses,addresses,C0376649,1.0,{'T170'},1,1,PMC12433365.txt
3,11,Abstract,Abstract,C0600678,1.0,{'T170'},0,1,PMC12433365.txt
39,47,Clinical,Clinical,C1315013,1.0,{'T170'},1,1,PMC12433365.txt
48,56,Practice,Practice,C0237607,1.0,{'T041'},1,1,PMC12433365.txt
68,71,CPS,cps,C0149958,1.0,{'T047'},0,1,PMC12433365.txt
256,259,CPS,cps,C0149958,1.0,{'T047'},0,1,PMC12433365.txt
55,72,literature review,literature review,C0282441,1.0,{'T170'},0,2,PMC12433365.txt
352,366,Administration,Administration,C1533734,1.0,{'T061'},0,2,PMC12433365.txt
498,512,adverse events,adverse events,C0877248,1.0,{'T046'},1,2,PMC12433365.txt
376,389,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,2,PMC12433365.txt
99,109,discussion,discussion,C0557061,1.0,{'T061'},1,2,PMC12433365.txt
443,453,literature,literature,C0023866,1.0,{'T170'},0,2,PMC12433365.txt
464,474,management,management,C0376636,1.0,{'T058'},1,2,PMC12433365.txt
541,551,literature,literature,C0023866,1.0,{'T170'},0,2,PMC12433365.txt
562,572,management,management,C0376636,1.0,{'T058'},1,2,PMC12433365.txt
632,642,experience,experience,C0237607,1.0,{'T041'},1,2,PMC12433365.txt
632,642,experience,experience,C0596545,1.0,{'T041'},0,2,PMC12433365.txt
164,173,Oral Care,Oral Care,C1272386,1.0,{'T058'},1,2,PMC12433365.txt
589,597,diseases,diseases,C0012634,1.0,{'T047'},1,2,PMC12433365.txt
784,792,standard,standard,C3873211,1.0,{'T059'},0,2,PMC12433365.txt
252,258,PubMed,PubMed,C1138432,1.0,{'T170'},0,2,PMC12433365.txt
305,311,Cancer,Cancer,C1306459,1.0,{'T191'},1,2,PMC12433365.txt
305,311,Cancer,Cancer,C0006826,1.0,{'T191'},0,2,PMC12433365.txt
483,489,immune,immune,C0439662,1.0,{'T033'},1,2,PMC12433365.txt
753,759,manual,manual,C0024763,1.0,"{'T073', 'T170'}",0,2,PMC12433365.txt
174,179,Study,Study,C1705923,1.0,{'T170'},1,2,PMC12433365.txt
180,185,Group,Group,C1561557,1.0,{'T031'},1,2,PMC12433365.txt
390,395,drugs,drugs,C0013227,1.0,{'T121'},1,2,PMC12433365.txt
347,351,Drug,Drug,C0013227,1.0,{'T121'},0,2,PMC12433365.txt
347,351,Drug,Drug,C1254351,1.0,{'T121'},0,2,PMC12433365.txt
796,800,care,care,C0580931,1.0,{'T033'},1,2,PMC12433365.txt
17,20,CPS,cps,C0149958,1.0,{'T047'},0,2,PMC12433365.txt
201,225,Immunotherapeutic agents,Immunotherapeutic agent,C0876248,0.9545454545454546,"{'T129', 'T121'}",0,2,PMC12433365.txt
332,351,topical anesthetics,topical anesthetics,C0040464,1.0,{'T121'},1,3,PMC12433365.txt
234,250,immunomodulators,immunomodulators,C0001551,1.0,"{'T129', 'T121'}",1,3,PMC12433365.txt
369,384,pain management,pain management,C0002766,1.0,{'T061'},0,3,PMC12433365.txt
114,128,hyposalivation,hyposalivation,C0043352,1.0,{'T047'},1,3,PMC12433365.txt
540,553,immunotherapy,immunotherapy,C0021083,1.0,{'T061'},0,3,PMC12433365.txt
303,315,oral mucosal,oral mucosal,C0026639,1.0,{'T023'},1,3,PMC12433365.txt
504,515,dental care,dental care,C0011331,1.0,{'T061'},0,3,PMC12433365.txt
103,113,xerostomia,xerostomia,C0043352,1.0,{'T047'},0,3,PMC12433365.txt
134,144,management,management,C0376636,1.0,{'T058'},1,3,PMC12433365.txt
153,163,toxicities,toxicities,C0600688,1.0,{'T037'},1,3,PMC12433365.txt
316,326,toxicities,toxicities,C0600688,1.0,{'T037'},1,3,PMC12433365.txt
396,406,strategies,strategies,C0679199,1.0,{'T041'},1,3,PMC12433365.txt
448,458,management,management,C0376636,1.0,{'T058'},1,3,PMC12433365.txt
