start,end,ngram,term,cui,similarity,semtypes,preferred,elem_id,source_filename
301,315,Discrimination,Discrimination,C0012632,1.0,{'T041'},0,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
346,359,public health,public health,C0699943,1.0,{'T058'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
346,359,public health,public health,C2239238,1.0,{'T061'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
346,359,public health,public health,C3244304,1.0,{'T170'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
117,128,disciplines,disciplines,C0237070,1.0,{'T058'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
677,687,objectives,objectives,C0018017,1.0,{'T170'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
568,577,practices,practices,C0237607,1.0,{'T041'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
3,11,Abstract,Abstract,C0600678,1.0,{'T170'},0,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
327,335,negative,negative,C0205160,1.0,{'T033'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
89,95,growth,growth,C0220844,1.0,{'T039'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
89,95,growth,growth,C0018270,1.0,{'T040'},0,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
162,168,vision,vision,C0042789,1.0,{'T040'},0,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
494,499,field,field,C1553496,1.0,{'T058'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
756,761,field,field,C1553496,1.0,{'T058'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
202,206,able,able,C1299581,1.0,{'T033'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
399,403,care,care,C0580931,1.0,{'T033'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
600,604,data,data,C3245479,1.0,{'T074'},1,1,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
179,194,quality of life,quality of life,C2015891,1.0,{'T033'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
179,194,quality of life,quality of life,C0518214,1.0,{'T033'},0,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
855,866,Association,Association,C0596306,1.0,{'T067'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
855,866,Association,Association,C0004083,1.0,{'T041'},0,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
101,111,healthcare,healthcare,C0086388,1.0,{'T058'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
393,403,healthcare,healthcare,C0086388,1.0,{'T058'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
902,910,Programs,Programs,C0376691,1.0,{'T170'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
543,548,Board,Board,C0972401,1.0,{'T074'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
3,7,Body,Body,C1551342,1.0,{'T170'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
431,435,care,care,C0580931,1.0,{'T033'},1,2,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
270,285,gender identity,gender identity,C0017249,1.0,{'T041'},0,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
294,305,orientation,orientation,C0029266,1.0,{'T041'},1,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
346,356,disability,disability,C0231170,1.0,{'T033'},0,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
311,320,pregnancy,pregnancy,C0032961,1.0,{'T040'},0,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
8,14,VISION,vision,C0042789,1.0,{'T040'},0,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
375,381,origin,origin,C1550512,1.0,{'T170'},1,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
404,410,vision,vision,C0042789,1.0,{'T040'},0,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
329,334,color,color,C1550604,1.0,{'T130'},1,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
329,334,color,color,C1704457,1.0,{'T170'},1,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
135,139,care,care,C0580931,1.0,{'T033'},1,3,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
32,46,discrimination,discrimination,C0012632,1.0,{'T041'},0,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
532,546,discrimination,discrimination,C0012632,1.0,{'T041'},0,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
94,107,public health,public health,C0699943,1.0,{'T058'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
94,107,public health,public health,C2239238,1.0,{'T061'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
94,107,public health,public health,C3244304,1.0,{'T170'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
403,413,healthcare,healthcare,C0086388,1.0,{'T058'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
313,322,practices,practices,C0237607,1.0,{'T041'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
75,83,negative,negative,C0205160,1.0,{'T033'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
391,399,employed,employed,C0557351,1.0,{'T033'},0,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
435,441,survey,survey,C0038951,1.0,{'T170'},0,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
583,589,Growth,Growth,C2911660,1.0,{'T067'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
583,589,Growth,Growth,C0018270,1.0,{'T040'},0,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
623,628,Board,Board,C0972401,1.0,{'T074'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
147,151,care,care,C0580931,1.0,{'T033'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
345,349,data,data,C3245479,1.0,{'T074'},1,4,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
450,464,discrimination,discrimination,C0012632,1.0,{'T041'},0,5,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
581,595,discrimination,discrimination,C0012632,1.0,{'T041'},0,5,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
143,154,Psychiatric,Psychiatric,C1548428,1.0,{'T033'},1,5,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
143,154,Psychiatric,Psychiatric,C3526598,1.0,{'T061'},1,5,Boxer_et_al-2019-Journal_of_the_American_Geriatrics_Society.grobid.tei.txt
